Episode,Total Reward,Epsilon
997,102.1,0.010
998,104.5,0.010
999,-10.799999999999981,0.010
1000,101.8,0.010
1001,104.2,0.010
1002,100.6,0.010
1003,99.7,0.010
1004,100.2,0.010
1005,99.7,0.010
1006,-10.59999999999998,0.010
1007,-10.199999999999982,0.010
1008,100.6,0.010
1009,101.2,0.010
1010,101.2,0.010
1011,101.8,0.010
1012,101.2,0.010
1013,101.4,0.010
1014,-10.39999999999998,0.010
1015,101.2,0.010
1016,102.5,0.010
1017,-12.599999999999993,0.010
1018,-12.799999999999986,0.010
1019,-10.599999999999982,0.010
1020,99.7,0.010
1021,101.8,0.010
1022,101.2,0.010
1023,104.4,0.010
1024,101.8,0.010
1025,100.6,0.010
1026,171.4,0.010
1027,101.2,0.010
1028,104.6,0.010
1029,101.2,0.010
1030,101.2,0.010
1031,99.7,0.010
1032,106.2,0.010
1033,101.2,0.010
1034,103.6,0.010
1035,104.0,0.010
1036,101.8,0.010
1037,101.4,0.010
1038,100.6,0.010
1039,101.8,0.010
1040,100.6,0.010
1041,101.8,0.010
1042,71.0,0.010
1043,100.6,0.010
1044,100.6,0.010
1045,101.8,0.010
1046,-10.599999999999982,0.010
1047,104.0,0.010
1048,69.10000000000001,0.010
1049,105.7,0.010
1050,-10.19999999999998,0.010
1051,102.1,0.010
1052,101.7,0.010
1053,101.8,0.010
1054,101.8,0.010
1055,106.4,0.010
1056,100.6,0.010
1057,102.8,0.010
1058,-10.39999999999998,0.010
1059,101.8,0.010
1060,105.1,0.010
1061,99.7,0.010
1062,99.6,0.010
1063,101.2,0.010
1064,71.0,0.010
1065,101.2,0.010
1066,159.09999999999997,0.010
1067,-10.199999999999982,0.010
1068,101.8,0.010
1069,102.8,0.010
1070,102.7,0.010
1071,101.2,0.010
1072,101.2,0.010
1073,100.6,0.010
1074,100.6,0.010
1075,102.3,0.010
1076,-13.199999999999989,0.010
1077,100.6,0.010
1078,101.7,0.010
1079,101.2,0.010
1080,-10.399999999999979,0.010
1081,101.2,0.010
1082,102.1,0.010
1083,103.1,0.010
1084,102.1,0.010
1085,101.2,0.010
1086,102.7,0.010
1087,100.6,0.010
1088,101.1,0.010
1089,54.999999999999986,0.010
1090,99.7,0.010
1091,18.500000000000007,0.010
1092,105.1,0.010
1093,101.2,0.010
1094,101.8,0.010
1095,100.8,0.010
1096,70.8,0.010
1097,104.2,0.010
1098,101.0,0.010
1099,104.1,0.010
1100,105.5,0.010
1101,101.8,0.010
1102,-10.59999999999998,0.010
1103,101.8,0.010
1104,-10.199999999999982,0.010
1105,101.2,0.010
1106,101.2,0.010
1107,100.6,0.010
1108,98.3,0.010
1109,102.1,0.010
1110,101.8,0.010
1111,101.8,0.010
1112,101.2,0.010
1113,106.5,0.010
1114,102.1,0.010
1115,-17.40000000000003,0.010
1116,102.8,0.010
1117,104.7,0.010
1118,101.2,0.010
1119,175.1,0.010
1120,101.2,0.010
1121,99.7,0.010
1122,102.7,0.010
1123,175.1,0.010
1124,103.0,0.010
1125,101.8,0.010
1126,101.0,0.010
1127,102.1,0.010
1128,101.8,0.010
1129,102.3,0.010
1130,102.1,0.010
1131,-11.599999999999984,0.010
1132,104.1,0.010
1133,-10.599999999999982,0.010
1134,69.1,0.010
1135,-10.199999999999982,0.010
1136,103.8,0.010
1137,101.8,0.010
1138,101.2,0.010
1139,100.6,0.010
1140,101.2,0.010
1141,-11.19999999999998,0.010
1142,102.1,0.010
1143,70.10000000000001,0.010
1144,104.1,0.010
1145,86.50000000000004,0.010
1146,103.8,0.010
1147,72.9,0.010
1148,100.9,0.010
1149,99.7,0.010
1150,102.7,0.010
1151,-10.19999999999998,0.010
1152,106.9,0.010
1153,101.2,0.010
1154,101.2,0.010
1155,-10.59999999999998,0.010
